Despacho,Orden,Cliente,Distrito,Tecnico,Decos_Series,Repetidores_Series,Fecha_Despacho,Estado_Almacen
DESP-000001,ORD-000001,Maria Gomez Flores,Mochumí,Cuadrilla Ferreñafe - C-05,DEC-391704,REP-948749,2023-01-02,Entregado a Tecnico
DESP-000002,ORD-000003,Luis Diaz Rojas,Pimentel,Cuadrilla Pimentel / Costa - C-03,,,2023-01-02,Entregado a Tecnico
DESP-000003,ORD-000004,Luis Martinez Torres,Pátapo,Cuadrilla Ferreñafe - C-05,,REP-852787,2023-01-02,Entregado a Tecnico
DESP-000004,ORD-000005,Manuel Sanchez Mendoza,Monsefú,Cuadrilla Chiclayo Centro - C-01,"DEC-214975, DEC-260265",,2023-01-02,Entregado a Tecnico
DESP-000005,ORD-000006,Lucia Castro Rodriguez,Manuel Antonio Mesones Muro,Cuadrilla La Victoria / JLO - C-02,,"REP-575763, REP-103402",2023-01-02,Entregado a Tecnico
DESP-000006,ORD-000009,Javier Romero Lopez,Pomalca,Cuadrilla La Victoria / JLO - C-02,"DEC-392004, DEC-801474",,2023-01-02,Entregado a Tecnico
DESP-000007,ORD-000010,Patricia Sanchez Garcia,Íllimo,Cuadrilla Pimentel / Costa - C-03,DEC-939482,"REP-214576, REP-360735",2023-01-02,Entregado a Tecnico
DESP-000008,ORD-000011,Pedro Sanchez Romero,Pimentel,Cuadrilla La Victoria / JLO - C-02,"DEC-520521, DEC-161483, DEC-272634",REP-497382,2023-01-02,Entregado a Tecnico
DESP-000009,ORD-000012,Carlos Vasquez Flores,Puerto Eten,Cuadrilla Ferreñafe - C-05,"DEC-599948, DEC-627276, DEC-994141",REP-656926,2023-01-02,Entregado a Tecnico
DESP-000010,ORD-000014,Manuel Torres Flores,Reque,Cuadrilla Pimentel / Costa - C-03,"DEC-172132, DEC-356150, DEC-487477","REP-398830, REP-265409",2023-01-02,Entregado a Tecnico
DESP-000011,ORD-000015,Javier Diaz Gomez,Pueblo Nuevo,Cuadrilla Pimentel / Costa - C-03,DEC-987204,,2023-01-02,Entregado a Tecnico
DESP-000012,ORD-000016,Ana Rodriguez Castro,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-423232,,2023-01-03,Entregado a Tecnico
DESP-000013,ORD-000017,Carmen Perez Rojas,Reque,Cuadrilla Pimentel / Costa - C-03,DEC-920391,"REP-531712, REP-941204",2023-01-02,Entregado a Tecnico
DESP-000014,ORD-000018,Elena Flores Martinez,Íllimo,Cuadrilla Pimentel / Costa - C-03,"DEC-172792, DEC-910891","REP-392683, REP-468203",2023-01-02,Entregado a Tecnico
DESP-000015,ORD-000019,Fiorella Vasquez Vargas,Monsefú,Cuadrilla Lambayeque Norte - C-04,DEC-101773,"REP-645175, REP-945687",2023-01-03,Entregado a Tecnico
DESP-000016,ORD-000020,Christian Sanchez Rojas,Manuel Antonio Mesones Muro,Cuadrilla Lambayeque Norte - C-04,DEC-810219,,2023-01-03,Entregado a Tecnico
DESP-000017,ORD-000021,Lucia Diaz Vasquez,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-451470,REP-197923,2023-01-03,Entregado a Tecnico
DESP-000018,ORD-000022,Elena Diaz Torres,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-887443,,2023-01-03,Entregado a Tecnico
DESP-000019,ORD-000023,Maria Castro Torres,Puerto Eten,Cuadrilla Ferreñafe - C-05,"DEC-547470, DEC-970914",REP-674485,2023-01-03,Entregado a Tecnico
DESP-000020,ORD-000027,Carlos Vasquez Gomez,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-593152,,2023-01-03,Entregado a Tecnico
DESP-000021,ORD-000028,Carlos Perez Rojas,Lambayeque,Cuadrilla Pimentel / Costa - C-03,DEC-904150,,2023-01-03,Entregado a Tecnico
DESP-000022,ORD-000030,Katia Perez Rojas,Pátapo,Cuadrilla Ferreñafe - C-05,,"REP-782054, REP-383201",2023-01-03,Entregado a Tecnico
DESP-000023,ORD-000032,Patricia Sanchez Rojas,Pacora,Cuadrilla Chiclayo Centro - C-01,"DEC-197573, DEC-408528",REP-332360,2023-01-03,Entregado a Tecnico
DESP-000024,ORD-000033,Rosa Torres Diaz,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-389930,,2023-01-03,Entregado a Tecnico
DESP-000025,ORD-000034,Katia Diaz Lopez,Monsefú,Cuadrilla Chiclayo Centro - C-01,"DEC-701949, DEC-398151, DEC-592198",REP-601968,2023-01-03,Entregado a Tecnico
DESP-000026,ORD-000035,Javier Vargas Martinez,La Victoria,Cuadrilla Lambayeque Norte - C-04,DEC-735770,REP-725084,2023-01-03,Entregado a Tecnico
DESP-000027,ORD-000036,Fernando Torres Vasquez,Olmos,Cuadrilla La Victoria / JLO - C-02,"DEC-678805, DEC-178711, DEC-264136",,2023-01-03,Entregado a Tecnico
DESP-000028,ORD-000037,Jose Romero Mendoza,Monsefú,Cuadrilla Pimentel / Costa - C-03,"DEC-966785, DEC-249145",REP-174878,2023-01-04,Entregado a Tecnico
DESP-000029,ORD-000038,Ana Martinez Diaz,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-807053,REP-976566,2023-01-04,Entregado a Tecnico
DESP-000030,ORD-000039,Katia Gomez Flores,Pátapo,Cuadrilla Chiclayo Centro - C-01,DEC-999398,REP-268637,2023-01-04,Entregado a Tecnico
DESP-000031,ORD-000040,Manuel Castro Mendoza,Lambayeque,Cuadrilla La Victoria / JLO - C-02,,REP-643623,2023-01-04,Entregado a Tecnico
DESP-000032,ORD-000041,Carmen Mendoza Romero,Monsefú,Cuadrilla Chiclayo Centro - C-01,"DEC-335615, DEC-982277, DEC-218972",REP-583863,2023-01-04,Entregado a Tecnico
DESP-000033,ORD-000042,Maria Garcia Mendoza,Eten,Cuadrilla Ferreñafe - C-05,"DEC-380150, DEC-960408, DEC-102689",REP-396578,2023-01-04,Entregado a Tecnico
DESP-000034,ORD-000043,Sofia Mendoza Garcia,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,DEC-619389,,2023-01-05,Entregado a Tecnico
DESP-000035,ORD-000044,Ana Garcia Vargas,Eten,Cuadrilla Pimentel / Costa - C-03,,REP-993744,2023-01-04,Entregado a Tecnico
DESP-000036,ORD-000045,Christian Vasquez Vargas,La Victoria,Cuadrilla Pimentel / Costa - C-03,DEC-493049,,2023-01-05,Entregado a Tecnico
DESP-000037,ORD-000050,Manuel Lopez Romero,Olmos,Cuadrilla Pimentel / Costa - C-03,DEC-213609,,2023-01-05,Entregado a Tecnico
DESP-000038,ORD-000051,Elena Mendoza Gomez,Pátapo,Cuadrilla Ferreñafe - C-05,,,2023-01-05,Entregado a Tecnico
DESP-000039,ORD-000052,Jorge Vasquez Romero,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-997004,"REP-480303, REP-204180",2023-01-05,Entregado a Tecnico
DESP-000040,ORD-000053,Carmen Rojas Perez,Pitipo,Cuadrilla Pimentel / Costa - C-03,,,2023-01-06,Entregado a Tecnico
DESP-000041,ORD-000054,Jorge Gomez Flores,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-877747,REP-541409,2023-01-05,Entregado a Tecnico
DESP-000042,ORD-000055,Fiorella Lopez Rodriguez,La Victoria,Cuadrilla Chiclayo Centro - C-01,"DEC-163780, DEC-602248","REP-988456, REP-521126",2023-01-05,Entregado a Tecnico
DESP-000043,ORD-000056,Jose Lopez Mendoza,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,"DEC-203996, DEC-931621",,2023-01-05,Entregado a Tecnico
DESP-000044,ORD-000057,Maria Sanchez Castro,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-197758,,2023-01-05,Entregado a Tecnico
DESP-000045,ORD-000058,Jose Lopez Rojas,Puerto Eten,Cuadrilla Ferreñafe - C-05,"DEC-632060, DEC-323072","REP-262246, REP-788637",2023-01-05,Entregado a Tecnico
DESP-000046,ORD-000059,Patricia Torres Lopez,Monsefú,Cuadrilla Pimentel / Costa - C-03,"DEC-130359, DEC-289179, DEC-386544",REP-836833,2023-01-05,Entregado a Tecnico
DESP-000047,ORD-000060,Sofia Vargas Rojas,Santa Rosa,Cuadrilla La Victoria / JLO - C-02,DEC-891083,REP-747850,2023-01-05,Entregado a Tecnico
DESP-000048,ORD-000061,Ana Rodriguez Flores,Eten,Cuadrilla Pimentel / Costa - C-03,,REP-147623,2023-01-05,Entregado a Tecnico
DESP-000049,ORD-000062,Elena Vasquez Perez,Pueblo Nuevo,Cuadrilla Pimentel / Costa - C-03,"DEC-175576, DEC-516359",,2023-01-05,Entregado a Tecnico
DESP-000050,ORD-000063,Ana Castro Gomez,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-355135,"REP-556839, REP-717476",2023-01-06,Entregado a Tecnico
