Orden,Intento,Cliente,DNI,Edad,Telefono,Departamento,Provincia,Distrito,Direccion,Asesor,Decos,Repetidores,Fecha_Registro,Fecha_Evaluacion_BO,Estado_BO,Motivo_Rechazo,Fecha_Programada,Fecha_Real_Instalacion,Estado_Final_Orden
ORD-000001,1,Maria Gomez Flores,42868828,32,928728463,Lambayeque,Lambayeque,Mochumí,"Av. Balta Nro. 483, Mochumí",Asesor - Carlos Ruiz,1,1,2023-01-01 16:12:00,2023-01-01 20:12:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000002,1,Carlos Martinez Castro,55667651,35,930868105,Lambayeque,Chiclayo,Reque,"Pje. Bolognesi Nro. 1570, Reque",Asesor - Carlos Ruiz,2,1,2023-01-01 15:34:00,2023-01-01 16:34:00,Rechazado Definitivo,Exceso de Equipos Solicitados,,,Rechazado
ORD-000003,1,Luis Diaz Rojas,35808537,63,919335534,Lambayeque,Chiclayo,Pimentel,"A.H. Urrunaga Mz. D Lte. 28, Pimentel",Asesor - Sofia Castro,0,0,2023-01-01 13:10:00,2023-01-01 16:10:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000004,1,Luis Martinez Torres,31931511,47,960929647,Lambayeque,Chiclayo,Pátapo,"Urb. San Juan Mz. M Lte. 25, Pátapo",Asesor - Jorge Silva,0,1,2023-01-01 14:17:00,2023-01-01 15:17:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000005,1,Manuel Sanchez Mendoza,63100814,74,996282117,Lambayeque,Chiclayo,Monsefú,"Jr. Los Incas Nro. 1854, Monsefú",Asesor - Maria Mendoza,2,0,2023-01-01 10:32:00,2023-01-01 14:32:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000006,1,Lucia Castro Rodriguez,61642594,42,989978790,Lambayeque,Ferreñafe,Manuel Antonio Mesones Muro,"A.H. Primero de Mayo Mz. K Lte. 24, Manuel Antonio Mesones Muro",Asesor - Jorge Silva,0,2,2023-01-01 18:21:00,2023-01-01 19:21:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000007,1,Diego Martinez Lopez,50056581,71,995758349,Lambayeque,Chiclayo,Pimentel,"Ca. Sáenz Peña Nro. 2272, Pimentel",Asesor - Ana Paredes,3,1,2023-01-01 08:07:00,2023-01-01 11:07:00,Rechazado Definitivo,Exceso de Equipos Solicitados,,,Rechazado
ORD-000008,1,Elena Perez Torres,20570592,23,975228535,Lambayeque,Lambayeque,Túcume,"Pje. Sáenz Peña Nro. 776, Túcume",Asesor - Ana Paredes,1,2,2023-01-01 11:59:00,2023-01-01 13:59:00,Devuelto a Correccion,Teléfono de Contacto Erróneo,,,En Proceso
ORD-000008,2,Elena Perez Torres,20570592,23,975228535,Lambayeque,Lambayeque,Túcume,"Pje. Sáenz Peña Nro. 776, Túcume",Asesor - Ana Paredes,1,2,2023-01-02 11:59:00,2023-01-02 13:59:00,Rechazado Definitivo,No Subsano Correccion / Cliente Desistio,,,Cancelado/Rechazado
ORD-000009,1,Javier Romero Lopez,43273328,32,918593410,Lambayeque,Chiclayo,Pomalca,"Ca. Balta Nro. 390, Pomalca",Asesor - Carlos Ruiz,2,0,2023-01-01 08:55:00,2023-01-01 11:55:00,Aprobado,,2023-01-03,2023-01-03,Instalado
